Orbit number;Mid-point;Uncertainty;Time System;Source;Color;Reference
-8168;2453885.688618;0.001079;BJD_TDB;WASP;sienna;This work
-586;2458984.389562033;0.000715023;BJD_TDB;TESS;g;This work
-585;2458985.0619479995;0.000800749;BJD_TDB;TESS;g;This work
-584;2458985.733730647;0.000576356;BJD_TDB;TESS;g;This work
-582;2458987.0789400497;0.000752511;BJD_TDB;TESS;g;This work
-581;2458987.752181849;0.00065442;BJD_TDB;TESS;g;This work
-578;2458989.768262745;0.000910273;BJD_TDB;TESS;g;This work
-577;2458990.4422638994;0.000507569;BJD_TDB;TESS;g;This work
-575;2458991.7862083153;0.001071848;BJD_TDB;TESS;g;This work
-573;2458993.132723552;0.000323203;BJD_TDB;TESS;g;This work
-571;2458994.4757964807;0.001107502;BJD_TDB;TESS;g;This work
-570;2458995.148726995;0.000342496;BJD_TDB;TESS;g;This work
-567;2458997.164457834;0.000732617;BJD_TDB;TESS;g;This work
-566;2458997.8392490153;0.000304979;BJD_TDB;TESS;g;This work
-565;2458998.512918944;0.000894996;BJD_TDB;TESS;g;This work
-564;2458999.182176961;0.000793532;BJD_TDB;TESS;g;This work
-562;2459000.5288516055;0.000553707;BJD_TDB;TESS;g;This work
-560;2459001.871876594;0.000889365;BJD_TDB;TESS;g;This work
-559;2459002.546653981;0.000469089;BJD_TDB;TESS;g;This work
-558;2459003.219041346;0.00024796;BJD_TDB;TESS;g;This work
-557;2459003.8906486677;0.000615063;BJD_TDB;TESS;g;This work
-556;2459004.5629739147;0.000553425;BJD_TDB;TESS;g;This work
-555;2459005.235805154;0.000533856;BJD_TDB;TESS;g;This work
-554;2459005.909282322;0.000910619;BJD_TDB;TESS;g;This work
-553;2459006.5802643313;0.00058184;BJD_TDB;TESS;g;This work
-552;2459007.253084229;0.000566661;BJD_TDB;TESS;g;This work
-550;2459008.5996079096;0.000878103;BJD_TDB;TESS;g;This work
-467;2459063.7406711467;0.0007778623558346;BJD_TDB;MLO;dimgray;This work
-463;2459066.4323299;0.0003301;BJD_TDB;TCS (MuSCAT2);b;This work
-434;2459085.934918196;0.0004820582344632;BJD_TDB;LCOGT;r;This work
-97;2459312.5575663825;0.0010910180372271;BJD_TDB;GdP;gold;This work
-95;2459313.901676876;0.0006597144506232;BJD_TDB;FLWO (KeplerCam);c;This work
-95;2459313.900517989;0.0011701611867201;BJD_TDB;ULMT;lime;This work
-43;2459349.542546;0.000232;BJD_TDB;CHEOPS;m;This work
-37;2459353.577576;0.000211;BJD_TDB;CHEOPS;m;This work
-33;2459356.267243;0.000191;BJD_TDB;CHEOPS;m;This work
-28;2459358.956866493;0.0002203609896531;BJD_TDB;FTN (MuSCAT3);darkorange;This work
-24;2459362.319158;0.000177;BJD_TDB;CHEOPS;m;This work
-19;2459365.681918;0.000173;BJD_TDB;CHEOPS;m;This work
-13;2459369.717019;0.000213;BJD_TDB;CHEOPS;m;This work
-3;2459376.441345;0.00024;BJD_TDB;CHEOPS;m;This work
-1;2459377.786845;0.000212;BJD_TDB;CHEOPS;m;This work
1;2459379.131546;0.000213;BJD_TDB;CHEOPS;m;This work
5;2459381.821608;0.000187;BJD_TDB;CHEOPS;m;This work
20;2459391.909196297;0.0002429226191895;BJD_TDB;FTN (MuSCAT3);darkorange;This work
444;2459677.037638843;0.0002098144422556;BJD_TDB;FTN (MuSCAT3);darkorange;This work
454;2459683.7633295115;0.0004950494287023;BJD_TDB;LCOGT;r;This work
457;2459685.779757;0.000335;BJD_TDB;CHEOPS;m;This work
471;2459695.19424;0.000254;BJD_TDB;CHEOPS;m;This work
507;2459719.403947745;0.0005646231640724;BJD_TDB;TESS;g;This work
508;2459720.0756537532;0.0005065762784377;BJD_TDB;TESS;g;This work
516;2459725.4560305723;0.0005634422394444;BJD_TDB;TESS;g;This work
517;2459726.1284774533;0.0005688545176719;BJD_TDB;TESS;g;This work
518;2459726.800225113;0.0004913983683468;BJD_TDB;TESS;g;This work
519;2459727.4734737524;0.000470645980088;BJD_TDB;TESS;g;This work
520;2459728.14532622;0.0004283964026503;BJD_TDB;TESS;g;This work
521;2459728.818189059;0.0005201898517433;BJD_TDB;TESS;g;This work
522;2459729.4900175566;0.0007254385062925;BJD_TDB;TESS;g;This work
523;2459730.163271409;0.0004439892638663;BJD_TDB;TESS;g;This work
523;2459730.163441;0.00022;BJD_TDB;CHEOPS;m;This work
526;2459732.180540602;0.0004479941407502;BJD_TDB;TESS;g;This work
527;2459732.852594;0.00023;BJD_TDB;CHEOPS;m;This work
527;2459732.852257272;0.0005400050045223;BJD_TDB;TESS;g;This work
528;2459733.525305;0.000203;BJD_TDB;CHEOPS;m;This work
533;2459736.887592;0.000222;BJD_TDB;CHEOPS;m;This work
534;2459737.560860793;0.0005653251729055;BJD_TDB;TESS;g;This work
535;2459738.2333763707;0.0005113513154362;BJD_TDB;TESS;g;This work
536;2459738.905475211;0.0007047266787608;BJD_TDB;TESS;g;This work
537;2459739.5773397847;0.0005773334153056;BJD_TDB;TESS;g;This work
538;2459740.2502610246;0.0005365319323793;BJD_TDB;TESS;g;This work
539;2459740.923098907;0.0004850116406203;BJD_TDB;TESS;g;This work
540;2459741.5952188536;0.0005339990818887;BJD_TDB;TESS;g;This work
541;2459742.2674073563;0.0004127388632712;BJD_TDB;TESS;g;This work
542;2459742.940686325;0.0007647953055111;BJD_TDB;TESS;g;This work
542;2459742.940224;0.000199;BJD_TDB;CHEOPS;m;This work
1007;2460055.640153;0.00028;BJD_TDB;CHEOPS;m;This work
1016;2460061.692214;0.000278;BJD_TDB;CHEOPS;m;This work
1048;2460083.211849;0.000252;BJD_TDB;CHEOPS;m;This work
1069;2460097.333665;0.000266;BJD_TDB;CHEOPS;m;This work
1071;2460098.679387;0.000284;BJD_TDB;CHEOPS;m;This work
1078;2460103.386211;0.000235;BJD_TDB;CHEOPS;m;This work
1080;2460104.731772;0.000289;BJD_TDB;CHEOPS;m;This work
1086;2460108.766204;0.000203;BJD_TDB;CHEOPS;m;This work
1091;2460112.128585;0.000224;BJD_TDB;CHEOPS;m;This work
1119;2460130.957922054;0.0007925323227997;BJD_TDB;FTN (MuSCAT3);darkorange;This work
1160;2460158.528584391;0.0006066518316013;BJD_TDB;LCOGT;r;This work
1598;2460453.072774278;0.000406341;BJD_TDB;TESS;g;This work
1599;2460453.745;0.000449098;BJD_TDB;TESS;g;This work
1600;2460454.417347932;0.000477778;BJD_TDB;TESS;g;This work
1601;2460455.0901764077;0.000675626;BJD_TDB;TESS;g;This work
1602;2460455.762512378;0.00049012;BJD_TDB;TESS;g;This work
1614;2460463.8316132217;0.000448403;BJD_TDB;TESS;g;This work
1615;2460464.5054251337;0.000491985;BJD_TDB;TESS;g;This work
1616;2460465.1771355974;0.000366124;BJD_TDB;TESS;g;This work
1618;2460466.5222258233;0.000954484;BJD_TDB;TESS;g;This work
1619;2460467.19510749;0.000427456;BJD_TDB;TESS;g;This work
1620;2460467.867316973;0.000457625;BJD_TDB;TESS;g;This work
1621;2460468.5400703847;0.000452365;BJD_TDB;TESS;g;This work
